,bid_price_1,bid_volume_1,bid_price_2,bid_volume_2,bid_price_3,bid_volume_3,ask_price_1,ask_volume_1,ask_price_2,ask_volume_2,ask_price_3,ask_volume_3,mid_price,profit_and_loss,ORCHIDS,TRANSPORT_FEES,EXPORT_TARIFF,IMPORT_TARIFF,SUNLIGHT,HUMIDITY,DAY,total_ask_vol,total_bid_vol,ask_vwap,bid_vwap,spread
7400,1096.0,10.0,1095.0,3.0,1088.0,46.0,1104.0,10.0,1105.0,3.0,1111.0,46.0,1100.0,109600.0,1099.75,0.9,9.5,-5.0,2079.5955,71.58187,1,59.0,59.0,1109.5084745762713,1089.7118644067796,8.0
7500,1098.0,8.0,1097.0,4.0,1090.0,40.0,1106.0,8.0,1107.0,4.0,1113.0,40.0,1102.0,109600.0,1101.75,0.9,9.5,-5.0,2079.2878,71.60194,1,52.0,52.0,1111.4615384615386,1091.7692307692307,8.0
7600,1098.0,9.0,1097.0,5.0,1090.0,53.0,1106.0,9.0,1107.0,5.0,1113.0,53.0,1102.0,109600.0,1101.75,0.9,9.5,-5.0,2078.9792,71.62197,1,67.0,67.0,1111.6119402985075,1091.597014925373,8.0
7700,1097.0,7.0,1096.0,3.0,1089.0,44.0,1105.0,7.0,1106.0,3.0,1112.0,44.0,1101.0,109600.0,1100.75,0.9,9.5,-5.0,2078.67,71.64197,1,54.0,54.0,1110.7592592592594,1090.4259259259259,8.0
7800,1094.0,8.0,1093.0,3.0,1087.0,41.0,1102.0,8.0,1103.0,3.0,1110.0,41.0,1098.0,109600.0,1098.25,0.9,9.5,-5.0,2078.3599,71.661934,1,52.0,52.0,1108.3653846153845,1088.423076923077,8.0
7900,1093.0,6.0,1092.0,2.0,1086.0,41.0,1101.0,6.0,1102.0,2.0,1109.0,41.0,1097.0,109600.0,1097.25,0.9,9.5,-5.0,2078.049,71.68186,1,49.0,49.0,1107.734693877551,1087.1020408163265,8.0
8000,1099.0,2.0,1093.0,9.0,1092.0,2.0,1101.0,9.0,1102.0,2.0,1109.0,48.0,1100.0,107412.203125,1097.0,0.9,9.5,-5.0,2077.7375,71.70176,1,59.0,13.0,1107.542372881356,1093.7692307692307,2.0
8100,1093.0,6.0,1092.0,2.0,1085.0,47.0,1101.0,6.0,1102.0,2.0,1108.0,47.0,1097.0,109610.203125,1096.75,0.9,9.5,-5.0,2077.425,71.72163,1,55.0,55.0,1107.0181818181818,1086.1272727272728,8.0
8200,1092.0,5.0,1091.0,2.0,1084.0,43.0,1100.0,5.0,1101.0,2.0,1107.0,43.0,1096.0,109610.203125,1095.75,0.9,9.5,-5.0,2077.1118,71.74146,1,50.0,50.0,1106.06,1085.08,8.0
8300,1092.0,6.0,1091.0,4.0,1085.0,43.0,1100.0,6.0,1101.0,4.0,1108.0,43.0,1096.0,109610.203125,1096.25,0.9,9.5,-5.0,2076.7979,71.76126,1,53.0,53.0,1106.566037735849,1086.245283018868,8.0
8400,1093.0,9.0,1092.0,3.0,1086.0,46.0,1101.0,9.0,1102.0,3.0,1109.0,46.0,1097.0,109610.203125,1097.25,0.9,9.5,-5.0,2076.483,71.78103,1,58.0,58.0,1107.396551724138,1087.396551724138,8.0
8500,1093.0,7.0,1092.0,2.0,1085.0,39.0,1101.0,7.0,1102.0,2.0,1108.0,39.0,1097.0,109610.203125,1096.75,0.9,9.5,-5.0,2076.1672,71.800766,1,48.0,48.0,1106.7291666666667,1086.4583333333333,8.0
8600,1092.0,8.0,1091.0,4.0,1084.0,46.0,1100.0,8.0,1101.0,4.0,1107.0,46.0,1096.0,109610.203125,1095.75,0.9,9.5,-5.0,2075.8508,71.820465,1,58.0,58.0,1105.6206896551723,1085.5862068965516,8.0
8700,1092.0,7.0,1090.0,2.0,1084.0,51.0,1099.0,7.0,1101.0,2.0,1107.0,51.0,1095.5,109610.203125,1095.5,0.9,9.5,-5.0,2075.5337,71.84013,1,60.0,60.0,1105.8666666666666,1085.1333333333334,7.0
8800,1091.0,8.0,1090.0,3.0,1084.0,44.0,1099.0,8.0,1100.0,3.0,1107.0,44.0,1095.0,109610.203125,1095.25,0.9,9.5,-5.0,2075.2158,71.85977,1,55.0,55.0,1105.4545454545455,1085.3454545454545,8.0
8900,1090.0,9.0,1089.0,4.0,1083.0,48.0,1098.0,9.0,1099.0,4.0,1106.0,48.0,1094.0,109610.203125,1094.25,0.9,9.5,-5.0,2074.8972,71.87938,1,61.0,61.0,1104.360655737705,1084.4262295081967,8.0
9000,1091.0,7.0,1090.0,3.0,1083.0,47.0,1099.0,7.0,1100.0,3.0,1106.0,47.0,1095.0,109610.203125,1094.75,0.9,9.5,-5.0,2074.5776,71.89896,1,57.0,57.0,1104.8245614035088,1084.3508771929824,8.0
9100,1090.0,5.0,1089.0,3.0,1082.0,43.0,1094.0,9.0,1098.0,5.0,1099.0,3.0,1092.0,109610.203125,1093.75,0.9,9.5,-5.0,2074.2573,71.918495,1,17.0,51.0,1096.0588235294117,1083.1960784313726,4.0
9200,1087.0,9.0,1086.0,2.0,1080.0,47.0,1095.0,9.0,1096.0,2.0,1103.0,47.0,1091.0,109610.203125,1091.25,0.9,9.5,-5.0,2073.9363,71.938,1,58.0,58.0,1101.5172413793102,1081.2931034482758,8.0
9300,1087.0,8.0,1086.0,4.0,1080.0,43.0,1095.0,8.0,1096.0,4.0,1103.0,43.0,1091.0,109610.203125,1091.25,0.9,9.5,-5.0,2073.6145,71.95748,1,55.0,55.0,1101.3272727272727,1081.4545454545455,8.0
9400,1088.0,9.0,1087.0,3.0,1081.0,49.0,1096.0,9.0,1097.0,3.0,1104.0,49.0,1092.0,109610.203125,1092.25,0.9,9.5,-5.0,2073.2917,71.97692,1,61.0,61.0,1102.4754098360656,1082.327868852459,8.0
9500,1087.0,8.0,1086.0,4.0,1080.0,48.0,1095.0,8.0,1096.0,4.0,1103.0,48.0,1091.0,109610.203125,1091.25,0.9,9.5,-5.0,2072.9685,71.99634,1,60.0,60.0,1101.4666666666667,1081.3333333333333,8.0
9600,1086.0,10.0,1085.0,3.0,1079.0,50.0,1094.0,10.0,1095.0,3.0,1102.0,50.0,1090.0,109610.203125,1090.25,0.9,9.5,-5.0,2072.6443,72.01572,1,63.0,63.0,1100.3968253968253,1080.3968253968253,8.0
9700,1086.0,5.0,1085.0,3.0,1078.0,50.0,1094.0,5.0,1095.0,3.0,1101.0,50.0,1090.0,109610.203125,1089.75,0.9,9.5,-5.0,2072.3196,72.035065,1,58.0,58.0,1100.0862068965516,1079.051724137931,8.0
9800,1086.0,10.0,1084.0,5.0,1078.0,49.0,1093.0,10.0,1095.0,5.0,1101.0,49.0,1089.5,109610.203125,1089.5,0.9,9.5,-5.0,2071.994,72.05438,1,64.0,64.0,1099.28125,1079.71875,7.0
9900,1088.0,5.0,1085.0,5.0,1084.0,4.0,1093.0,5.0,1094.0,4.0,1100.0,54.0,1090.5,104183.203125,1088.75,0.9,9.5,-5.0,2071.6675,72.07367,1,63.0,14.0,1099.063492063492,1085.7857142857142,5.0
10000,1085.0,10.0,1084.0,5.0,1077.0,47.0,1093.0,10.0,1094.0,5.0,1101.0,47.0,1089.0,109623.203125,1089.0,0.9,9.5,-5.0,2071.3403,72.09292,1,62.0,62.0,1099.1451612903227,1078.8548387096773,8.0
10100,1084.0,7.0,1083.0,4.0,1076.0,41.0,1092.0,7.0,1093.0,4.0,1099.0,41.0,1088.0,109623.203125,1087.75,0.9,9.5,-5.0,2071.0122,72.112144,1,52.0,52.0,1097.5961538461538,1077.6153846153845,8.0
10200,1083.0,5.0,1082.0,4.0,1075.0,48.0,1091.0,5.0,1092.0,4.0,1098.0,48.0,1087.0,109623.203125,1086.75,0.9,9.5,-5.0,2070.6836,72.13133,1,57.0,57.0,1096.9649122807018,1076.1929824561403,8.0
10300,1084.0,8.0,1083.0,3.0,1077.0,47.0,1092.0,8.0,1093.0,3.0,1100.0,47.0,1088.0,109623.203125,1088.25,0.9,9.5,-5.0,2070.3542,72.1505,1,58.0,58.0,1098.5344827586207,1078.2758620689656,8.0
10400,1085.0,7.0,1083.0,4.0,1077.0,46.0,1092.0,7.0,1094.0,4.0,1100.0,46.0,1088.5,109623.203125,1088.5,0.9,9.5,-5.0,2070.024,72.169624,1,57.0,57.0,1098.5964912280701,1078.4035087719299,7.0
10500,1085.0,5.0,1083.0,5.0,1077.0,54.0,1092.0,5.0,1094.0,5.0,1100.0,54.0,1088.5,109623.203125,1088.5,0.9,9.5,-5.0,2069.693,72.18872,1,64.0,64.0,1098.90625,1078.09375,7.0
10600,1086.0,8.0,1085.0,5.0,1078.0,53.0,1094.0,8.0,1095.0,5.0,1101.0,53.0,1090.0,109623.203125,1089.75,0.9,9.5,-5.0,2069.3613,72.20779,1,66.0,66.0,1099.6969696969697,1079.5,8.0
